# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
GRIGORESCU LAURIAN,PARTIDUL ECOLOGIST ROMÂN,27,MEHEDINŢI,,3,28261,29194,177,0,0.63%
ŞERBAN ILIE,PARTIDUL POPORULUI - DAN DIACONESCU,27,MEHEDINŢI,,3,28261,29194,4510,0,15.96%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,19,0,0.07%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",27,MEHEDINŢI,,3,28261,29194,46,0,0.16%
MÉSZÁROS ATTILA-ANTAL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,84,0,0.30%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,13,0,0.05%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,43,0,0.15%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,21,0,0.07%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,16,0,0.06%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,11,0,0.04%
PALAŞCĂ VIOREL,UNIUNEA SOCIAL LIBERALĂ,27,MEHEDINŢI,,3,28261,29194,19655,1,69.55%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,27,MEHEDINŢI,,3,28261,29194,19,0,0.07%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,13,0,0.05%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,33,0,0.12%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,45,0,0.16%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,17,0,0.06%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,27,MEHEDINŢI,,3,28261,29194,22,0,0.08%
GORUN CONSTANTIN,PARTIDUL ROMÂNIA MARE,27,MEHEDINŢI,,2,30353,31274,484,0,1.59%
BEŢIU CONSTANTIN,PARTIDUL ECOLOGIST ROMÂN,27,MEHEDINŢI,,2,30353,31274,301,0,0.99%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,7,0,0.02%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",27,MEHEDINŢI,,2,30353,31274,81,0,0.27%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,30,0,0.10%
POPESCU-BĂBEANU CONSTANTIN,ALIANŢA ROMÂNIA DREAPTĂ,27,MEHEDINŢI,,3,28261,29194,2736,0,9.68%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,13,0,0.04%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,1,0,0.00%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,15,0,0.05%
SZÖRÖS-ILIE ALEXANDRU,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,93,0,0.31%
CHIRCU DOINIŢA-MARIANA,ALIANŢA ROMÂNIA DREAPTĂ,27,MEHEDINŢI,,2,30353,31274,6444,0,21.23%
DAEA PETRE,UNIUNEA SOCIAL LIBERALĂ,27,MEHEDINŢI,,2,30353,31274,18527,1,61.04%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,14,0,0.05%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,18,0,0.06%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,4,0,0.01%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,27,MEHEDINŢI,,2,30353,31274,23,0,0.08%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,26,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,13,0,0.04%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,9,0,0.03%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,58,0,0.19%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,108,0,0.36%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,7,0,0.02%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,75,0,0.25%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,27,MEHEDINŢI,,2,30353,31274,34,0,0.11%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,23,0,0.08%
BARTA IOAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,96,0,0.34%
TRAICU RODIN,UNIUNEA SOCIAL LIBERALĂ,27,MEHEDINŢI,,1,28082,28788,16173,1,57.59%
MARINESCU IRINEL,PARTIDUL ROMÂNIA MARE,27,MEHEDINŢI,,1,28082,28788,454,0,1.62%
BĂRBULESCU FLORIAN,PARTIDUL ECOLOGIST ROMÂN,27,MEHEDINŢI,,1,28082,28788,314,0,1.12%
ALEXE VERGIL,PARTIDUL POPORULUI - DAN DIACONESCU,27,MEHEDINŢI,,2,30353,31274,3968,0,13.07%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,9,0,0.03%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,7,0,0.02%
FINKELSTEIN-MUSTAŢĂ GABRIEL,PARTIDUL POPULAR ŞI AL PROTECŢIEI SOCIALE,27,MEHEDINŢI,,1,28082,28788,100,0,0.36%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,0,0,0.00%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,3,0,0.01%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,9,0,0.03%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,8,0,0.03%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,20,0,0.07%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,3,0,0.01%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",27,MEHEDINŢI,,1,28082,28788,27,0,0.10%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,26,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,27,MEHEDINŢI,,1,28082,28788,13,0,0.05%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,9,0,0.03%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,2,0,0.01%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,12,0,0.04%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,17,0,0.06%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,8,0,0.03%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,27,MEHEDINŢI,,1,28082,28788,14,0,0.05%
STĂNIŞOARĂ MIHAI,ALIANŢA ROMÂNIA DREAPTĂ,27,MEHEDINŢI,,1,28082,28788,8323,1,29.64%
BUCULEASA IONUŢ,PARTIDUL POPORULUI - DAN DIACONESCU,27,MEHEDINŢI,,1,28082,28788,2412,0,8.59%
ŢINTOŞAN DOINA-ELENA,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,,1,27822,28383,928,0,3.34%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,28,MUREŞ,,1,27822,28383,9,0,0.03%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,28,MUREŞ,,1,27822,28383,10,0,0.04%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,28,MUREŞ,,1,27822,28383,67,0,0.24%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,28,MUREŞ,,1,27822,28383,17,0,0.06%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,28,MUREŞ,,1,27822,28383,45,0,0.16%
COCEAN MARIA,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,4,,44846,46839,6723,0,14.99%
DIACONESCU MARIA,PARTIDUL ROMÂNIA MARE,28,MUREŞ,4,,44846,46839,1204,0,2.68%
VARGA LORAND-JENŐ,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,4,,44846,46839,783,0,1.75%
BALOGH IOSIF,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,4,,44846,46839,6495,0,14.48%
FRĂTEAN PETRU-ALEXANDRU,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,4,,44846,46839,24153,1,53.86%
MATEI DUMITRU,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,4,,44846,46839,5488,0,12.24%
TŐKES ANDREI,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,2,,46028,47849,2685,0,5.83%
CSÉP ÉVA-ANDREA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,3,,46430,48486,7992,0,17.21%
MORA ÁKOS-DANIEL,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,3,,46430,48486,22536,1,48.54%
BAŞA PETRU,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,3,,46430,48486,7568,0,16.30%
PRECUP VALENTIN,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,3,,46430,48486,7448,0,16.04%
MÁTÉ JANOS,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,3,,46430,48486,886,0,1.91%
JAKAB ISTVÁN,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,1,,57410,58662,2799,0,4.88%
MARKÓ BÉLA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,2,,46028,47849,30144,1,65.49%
DUMA IOAN-COSMIN,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,2,,46028,47849,8649,0,18.79%
SCHWARTZ LADISLAU,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,2,,46028,47849,1691,0,3.67%
DOGAR DORIN-OVIDIU,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,2,,46028,47849,2125,0,4.62%
PĂDUREAN SORIN-POMPEI,PARTIDUL ROMÂNIA MARE,28,MUREŞ,2,,46028,47849,734,0,1.59%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,25,0,0.11%
SOMEŞAN ŞTEFAN,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,1,,57410,58662,19925,0,34.71%
FRUNDA GYÖRGY,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,1,,57410,58662,22888,0,39.87%
PAŞCAN EMIL-MARIUS,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,1,,57410,58662,8611,1,15.00%
GABOR IOAN-GABRIEL,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,1,,57410,58662,2004,0,3.49%
DRĂGULEŢ RĂZVAN-LAURENŢIU,PARTIDUL ROMÂNIA MARE,28,MUREŞ,1,,57410,58662,1183,0,2.06%
JÎRCAN IOAN,PARTIDUL ROMÂNIA MARE,28,MUREŞ,,8,22377,23465,382,0,1.71%
BARABAS TIBOR,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,,8,22377,23465,400,0,1.79%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,28,0,0.13%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,28,MUREŞ,,8,22377,23465,25,0,0.11%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,14,0,0.06%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,4,0,0.02%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,32,0,0.14%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,98,0,0.44%
ERŐS CSABA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,3353,0,14.98%
GLIGA VASILE-GHIORGHE,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,,8,22377,23465,13145,1,58.74%
TODORAN LIVIU-EMIL-NICU,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,,8,22377,23465,1742,0,7.78%
FEIER IOAN,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,,8,22377,23465,2754,0,12.31%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,17,0,0.08%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,28,MUREŞ,,8,22377,23465,53,0,0.24%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,37,0,0.17%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,14,0,0.06%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,25,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,10,0,0.04%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,32,0,0.14%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,14,0,0.06%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,12,0,0.05%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,34,0,0.15%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,28,MUREŞ,,8,22377,23465,26,0,0.12%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",28,MUREŞ,,8,22377,23465,133,0,0.59%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,31,0,0.14%
SALLAI IMRE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,3287,0,14.87%
CHIRTEŞ IOAN-CRISTIAN,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,,7,22111,23374,11572,1,52.34%
CURTICĂPEAN SEPTIMIU,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,,7,22111,23374,3097,0,14.01%
HURDUGACI EMANOIL,PARTIDUL ROMÂNIA MARE,28,MUREŞ,,7,22111,23374,447,0,2.02%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,35,0,0.16%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,26,0,0.12%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,28,MUREŞ,,7,22111,23374,22,0,0.10%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,43,0,0.19%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,21,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,28,MUREŞ,,7,22111,23374,34,0,0.15%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,75,0,0.34%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",28,MUREŞ,,7,22111,23374,256,0,1.16%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,9,0,0.04%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,32,0,0.14%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,6,0,0.03%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,12,0,0.05%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,36,0,0.16%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,28,MUREŞ,,6,21632,23014,25,0,0.12%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,41,0,0.19%
VASU IOAN,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,,7,22111,23374,2921,0,13.21%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,21,0,0.09%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,68,0,0.31%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,28,MUREŞ,,7,22111,23374,28,0,0.13%
GOGOLAK-HRUBECZ CSONGOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,3640,0,16.83%
JUGĂNARU ANNE-ROSE-MARIE,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,,6,21632,23014,9129,0,42.20%
STROIAN TOADER,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,,6,21632,23014,3758,0,17.37%
SEFER CRISTIAN-GEORGE,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,,6,21632,23014,3519,1,16.27%
ŐLVEDI ZSOLT,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,,6,21632,23014,510,0,2.36%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,35,0,0.16%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,16,0,0.07%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,46,0,0.21%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,33,0,0.15%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,44,0,0.20%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,42,0,0.19%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,15,0,0.07%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,28,MUREŞ,,6,21632,23014,41,0,0.19%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,45,0,0.21%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,26,0,0.12%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",28,MUREŞ,,6,21632,23014,268,0,1.24%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,17,0,0.08%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,8,0,0.04%
SOCOTAR GHEORGHE-DINU,UNIUNEA SOCIAL LIBERALĂ,28,MUREŞ,,5,21826,22890,2281,0,10.45%
MELEG VICTOR,ALIANŢA ROMÂNIA DREAPTĂ,28,MUREŞ,,5,21826,22890,509,0,2.33%
GABOR TIBERIU,PARTIDUL POPORULUI - DAN DIACONESCU,28,MUREŞ,,5,21826,22890,633,0,2.90%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,46,0,0.21%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,32,0,0.15%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,28,MUREŞ,,6,21632,23014,296,0,1.37%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,15,0,0.07%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,24,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,27,0,0.12%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,15,0,0.07%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,72,0,0.33%
BORBÉLY LÁSZLÓ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,15925,1,72.96%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,28,MUREŞ,,5,21826,22890,24,0,0.11%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,33,0,0.15%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,7,0,0.03%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,24,0,0.11%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,15,0,0.07%
LÁSZLÓ GYÖRGY,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,28,MUREŞ,,5,21826,22890,1744,0,7.99%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,28,MUREŞ,,5,21826,22890,62,0,0.28%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",28,MUREŞ,,5,21826,22890,202,0,0.93%
